,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Portland,US,45.5234,-122.6762,79.99,62,75,4.61,broken clouds
293,Half Moon Bay,US,37.4636,-122.4286,85.05,69,0,9.22,clear sky
294,Floriano,BR,-6.7669,-43.0225,99.28,23,52,10.47,broken clouds
295,Kondinskoye,RU,59.6481,67.41,42.58,91,71,6.89,broken clouds
296,Alice Springs,AU,-23.7,133.8833,62.15,27,75,10.36,broken clouds
297,Gwanda,ZW,-20.9333,29.0,79.47,16,0,14.63,clear sky
298,Olavarria,AR,-36.8927,-60.3225,79.3,23,70,11.25,broken clouds
299,Chapadinha,BR,-3.7417,-43.3603,97.11,25,98,5.46,overcast clouds
300,Lagos,NG,6.5833,3.75,80.92,90,100,4.12,overcast clouds
301,Magdug,PH,6.5476,126.0951,80.8,79,96,3.49,overcast clouds
302,Sakakah,SA,29.9697,40.2064,84.56,15,1,5.95,clear sky
303,Berlevag,NO,70.8578,29.0864,46.4,61,0,17.27,clear sky
304,Chichli,IN,22.8333,78.8167,73.42,92,88,6.26,overcast clouds
305,Codrington,AU,-38.2667,141.9667,45.16,75,70,9.04,broken clouds
306,Norman Wells,CA,65.282,-126.8329,48.24,66,75,8.05,broken clouds
307,Flinders,AU,-34.5833,150.8552,61.38,92,7,5.01,clear sky
308,Waingapu,ID,-9.6567,120.2641,79.63,81,100,7.76,overcast clouds
309,Nelson Bay,AU,-32.7167,152.15,63.09,97,70,3.0,broken clouds
310,Sabang,ID,5.8933,95.3214,79.79,78,100,7.56,light rain
311,Itarema,BR,-2.9248,-39.9167,82.17,68,61,15.12,broken clouds
312,Primero De Enero,CU,21.9469,-78.4283,86.47,59,4,13.67,clear sky
313,Turukhansk,RU,65.8167,87.9833,32.68,98,100,17.72,snow
314,Tias,ES,28.9611,-13.645,73.08,73,20,25.32,few clouds
315,Razdolinsk,RU,58.4211,94.6658,28.96,96,100,3.47,overcast clouds
316,Paamiut,GL,61.994,-49.6678,32.59,98,100,6.29,light snow
317,Vallenar,CL,-28.5708,-70.7581,83.17,14,100,8.43,overcast clouds
318,Hualmay,PE,-11.0964,-77.6139,66.2,70,15,8.48,few clouds
319,Montepuez,MZ,-13.1256,38.9997,69.75,73,3,8.16,clear sky
320,Uribia,CO,11.7139,-72.266,80.1,75,100,9.24,overcast clouds
321,Luderitz,NA,-26.6481,15.1594,63.93,59,0,18.5,clear sky
322,Shu,KZ,43.5983,73.7614,58.6,27,0,6.85,clear sky
323,Diamantino,BR,-14.4086,-56.4461,70.54,88,100,3.29,overcast clouds
324,Touros,BR,-5.1989,-35.4608,79.38,78,9,15.64,clear sky
325,Saskylakh,RU,71.9167,114.0833,25.97,94,100,15.14,light snow
326,Kyra,RU,49.5776,111.9753,23.27,87,47,5.55,scattered clouds
327,Angoche,MZ,-16.2325,39.9086,75.09,87,0,7.58,clear sky
328,Zyryanka,RU,65.75,150.85,9.41,93,19,11.39,few clouds
329,Odesskoye,RU,54.2111,72.9651,53.82,55,100,9.17,overcast clouds
330,Mao,ES,39.8885,4.2658,64.96,94,20,5.75,few clouds
331,Yenagoa,NG,4.9247,6.2642,72.61,96,100,2.39,overcast clouds
332,Huilong,CN,31.8111,121.655,58.93,63,100,7.63,overcast clouds
333,Mount Isa,AU,-20.7333,139.5,74.97,78,100,3.44,overcast clouds
334,Port Lincoln,AU,-34.7333,135.8667,50.05,67,52,8.01,broken clouds
335,Carutapera,BR,-1.195,-46.02,83.19,68,27,9.6,scattered clouds
336,Pontiac,US,42.6389,-83.2911,50.02,64,100,11.5,overcast clouds
337,Xiamen,CN,24.4798,118.0819,76.24,78,20,11.18,few clouds
338,Necochea,AR,-38.5473,-58.7368,65.53,52,100,6.46,overcast clouds
339,Qasigiannguit,GL,68.8193,-51.1922,26.85,92,100,2.15,overcast clouds
340,Zhuhai,CN,22.2769,113.5678,80.31,78,40,16.11,scattered clouds
341,Camopi,GF,3.1655,-52.3158,95.32,30,34,7.58,scattered clouds
342,Chuka,KE,-0.3332,37.6459,64.67,69,100,5.97,overcast clouds
343,Torbay,CA,47.6666,-52.7314,55.89,95,100,13.0,overcast clouds
344,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,84,81,15.19,broken clouds
345,Nara,JP,34.6851,135.8049,61.92,67,100,5.21,overcast clouds
346,Kutum,SD,14.2,24.6667,81.54,26,96,12.88,overcast clouds
347,Buchanan,LR,5.8808,-10.0467,77.22,86,98,6.15,overcast clouds
