,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
531,Gondanglegi,ID,-7.7479,112.0132,75.25,92,100,9.24,moderate rain,pondok pesantren mamba'ul 'ulum selo rejo
535,Cobija,BO,-11.0267,-68.7692,89.78,62,75,11.5,broken clouds,Hotel Obelisco
536,Fallon,US,39.4735,-118.7774,81.45,13,20,0.0,few clouds,Best Western Fallon Inn & Suites
546,Poso,ID,-1.3959,120.7524,76.14,83,100,3.65,overcast clouds,Hotel 77 Poso
550,Matias Romero,MX,16.8833,-95.0333,82.27,61,50,16.2,scattered clouds,Casa Don Gustavo
553,Ranong,TH,9.9658,98.6348,76.19,90,100,1.99,light rain,Numsai Khaosuay Resort Ranong
566,Barra,BR,-11.0894,-43.1417,87.87,34,69,6.51,broken clouds,Pousada Bahia
567,Lynchburg,US,37.4138,-79.1423,82.2,39,0,10.36,clear sky,Econo Lodge
568,Sobradinho,BR,-12.8333,-39.1,80.19,64,5,8.93,clear sky,Pousada Pau Brasil
570,Gafargaon,BD,24.4333,90.5667,78.08,83,11,3.83,few clouds,গফরগাঁও ধামাইল ঢালীবাড়ী
572,The Valley,AI,18.217,-63.0578,84.34,70,20,13.8,few clouds,CeBlue Villas & Beach Resort
577,Itaunja,IN,27.0833,80.9167,75.18,94,97,5.21,light rain,Anil kumar
579,Rodrigues Alves,BR,-7.738,-72.6509,88.0,58,93,6.22,overcast clouds,Pousada Aconchego
581,Iralaya,HN,15.0,-83.2333,81.46,85,100,12.59,overcast clouds,Iglesia morava renovada
584,Lodwar,KE,3.1191,35.5973,87.46,33,67,16.15,broken clouds,Solmar Gracious Hotel
585,Isla Mujeres,MX,21.2311,-86.731,86.16,65,66,10.71,broken clouds,Hotel La Joya Isla Mujeres
586,Tarauaca,BR,-8.1614,-70.7656,87.12,57,99,3.27,overcast clouds,Flat Temporada
592,Kudat,MY,6.8837,116.8477,80.53,83,20,4.61,few clouds,Dream Garden Hotel
593,Hobyo,SO,5.3505,48.5268,77.56,82,77,16.02,broken clouds,Halane Hotel and Restaurent
594,Innisfail,AU,-17.5333,146.0333,75.24,85,80,6.55,broken clouds,Moondarra Motel
596,Eureka,US,40.8021,-124.1637,85.68,70,16,6.31,few clouds,Eureka Inn Trademark By Wyndham
600,Gushikawa,JP,26.3544,127.8686,76.23,83,0,6.91,clear sky,Kirari Guest House
604,Sanchor,IN,24.7553,71.7722,80.53,55,63,6.24,broken clouds,Hotel Amar Palace & AC Restaurant
607,Nicoya,CR,10.1483,-85.452,82.08,80,76,7.18,broken clouds,Las Cabinas Del Sueño
613,Malindi,KE,-3.2175,40.1191,75.31,84,97,14.88,overcast clouds,African House Resort
614,Nidadavole,IN,16.9167,81.6667,75.27,94,100,4.14,overcast clouds,Green city
615,Martapura,ID,-3.4167,114.85,75.29,100,100,1.14,fog,Montana Hotel Syariah
616,Kismayo,SO,-0.3582,42.5454,77.14,85,99,16.15,overcast clouds,Agan-Hotel
617,Manzanillo,CU,20.3433,-77.1167,86.16,68,49,14.0,scattered clouds,"HOSTAL ""THE YELLOW HOUSE"""
619,Tucuman,AR,-26.8241,-65.2226,89.6,15,0,17.27,clear sky,Dallas Hotel Tucuman
627,Curillo,CO,1.0333,-75.9191,86.5,59,89,5.75,heavy intensity rain,CASA CLUB
628,Morondava,MG,-20.2833,44.2833,75.49,86,22,3.27,few clouds,La Case Bambou
629,Bull Savanna,JM,17.8868,-77.5902,81.91,73,100,8.03,overcast clouds,Big Red's
632,Malumfashi,NG,11.7853,7.6218,77.34,52,20,4.76,few clouds,INFINITY CYBER CAFE MALUMFASHI
635,Calabozo,VE,8.9242,-67.4293,85.87,66,61,6.78,broken clouds,Hotel Giardini
636,Epe,NG,6.5841,3.9834,75.7,90,100,4.41,overcast clouds,MAGVILLE HOTEL
640,Binalbagan,PH,10.1948,122.8581,78.51,86,100,4.05,overcast clouds,Ven madalogdog bldg
642,San Policarpo,PH,12.1791,125.5072,80.89,82,100,6.69,heavy intensity rain,Agapita M. Nicart
643,Kilindoni,TZ,-7.9139,39.6668,76.53,76,50,12.12,scattered clouds,Bustani B&B
644,Phalodi,IN,27.1333,72.3667,83.84,51,44,11.39,scattered clouds,"HOTEL NEW GOLDEN PALACE , PHALODI"
645,San Pedro,PH,14.35,121.0167,79.83,82,20,3.44,few clouds,Palines Apartment and Guesthouse
649,Djibo,BF,14.1022,-1.6306,87.26,39,75,8.43,broken clouds,Centre Des Ressources DPENA
655,Mangrol,IN,21.1167,70.1167,81.46,74,83,8.34,broken clouds,Hotel The Royal Honours
657,Mamu Kanjan,PK,30.8333,72.8,75.65,61,0,6.6,clear sky,Mian Qaisar Hayat House
659,Luangwa,ZM,-15.6167,30.4167,77.67,28,0,3.51,clear sky,Gerasimos Safari Lodge
663,Mount Pleasant,US,32.7941,-79.8626,86.05,49,0,8.05,clear sky,Best Western Patriots Point
666,Cayenne,GF,4.9333,-52.3333,87.84,58,0,12.66,clear sky,Hôtel Le Dronmi
667,Santa Fe,AR,-31.6333,-60.7,88.0,22,0,13.0,light rain,Conquistador Hotel
671,Benjamin Constant,BR,-4.3831,-70.0311,86.13,83,40,3.44,moderate rain,CASA AVALIADA
673,Makakilo City,US,21.3469,-158.0858,84.52,55,20,5.75,few clouds,Marriott's Ko Olina Beach Club
674,Les Cayes,HT,18.2,-73.75,83.77,66,11,5.46,few clouds,Villa Orphee
677,Alofi,NU,-19.0595,-169.9187,78.69,73,75,14.97,broken clouds,Taloa Heights
679,Pedro Carbo,EC,-1.8333,-80.2333,86.7,46,89,9.95,overcast clouds,Centro turístico y hostería oasis pedro carbo
680,Mayumba,GA,-3.432,10.6554,76.1,85,99,6.46,overcast clouds,LIKWALE LODGE
682,Palmer,US,42.1584,-72.3287,76.55,48,40,9.22,scattered clouds,Wedgewood Motel
